feature,importance
rms_mean,0.4369923814156441
mfcc_1_std,0.15546950828658263
mfcc_2_mean,0.08234054504366321
rms_std,0.05391709106347891
mfcc_11_mean,0.03621738048840232
mfcc_10_mean,0.0312995394520446
mfcc_9_mean,0.02719066890695596
mfcc_0_mean,0.024580536766242403
mfcc_5_mean,0.015391586194364636
chroma_5_mean,0.011701171341273063
audio_length,0.011124128173657044
mfcc_8_mean,0.010243096125440838
mfcc_12_mean,0.007840558551998014
mfcc_7_mean,0.007499804529841986
spectral_centroid_std,0.006988117271475145
chroma_6_mean,0.006936672604818916
chroma_11_mean,0.0064166456228731085
chroma_7_mean,0.006393318162860859
max_amplitude,0.00609059895159562
chroma_4_mean,0.006053344548390224
chroma_10_mean,0.005956707603171441
mfcc_4_mean,0.005451200099110112
mfcc_7_std,0.004917189592525838
mfcc_6_mean,0.004513062976856544
mfcc_8_std,0.004119377962219168
mfcc_0_std,0.0032733892969623295
mfcc_10_std,0.003258796028387357
chroma_0_mean,0.003120707881368984
spectral_rolloff_mean,0.002119824951472432
spectral_centroid_mean,0.001428606046152346
mfcc_1_mean,0.0014244308751919761
mfcc_12_std,0.001298123936624217
mfcc_2_std,0.0012467741947321644
zcr_std,0.0010953457058399826
chroma_3_mean,0.0010016025641025644
spectral_rolloff_std,0.0009782041564740521
mfcc_3_std,0.0009761470712295622
chroma_2_mean,0.0009588280060882798
mfcc_3_mean,0.0008233379217810907
chroma_8_mean,0.00046506160855342663
mfcc_5_std,0.0004296391058443301
mfcc_9_std,0.000294059128255375
mfcc_11_std,0.00016288978545303886
mfcc_6_std,0.0
zcr_mean,0.0
mfcc_4_std,0.0
chroma_1_mean,0.0
chroma_9_mean,0.0
